id,name,host_id,host_name,host_is_superhost,neighbourhood,price,beds,review_scores_rating
648549709021440854,LuxoStays | ! Quiet Rm #Private Bathrm & VIEW,226555948,Gi'Angelo,f,San Francisco,69.0,1.0,5.0
938317240177880784,Presidio Heights Condo - 2bdrm/2 bath,51769509,Turner,t,San Francisco,328.0,2.0,4.83
53849558,Stunning 1-Bedroom Loft in Clock Tower Building,3793516,Audrey,t,San Francisco,175.0,1.0,4.86
30774802,Modern New place & furnished  for Long term stay,230265204,Athena,t,San Francisco,40.0,3.0,4.85
3442439,Spacious Bernal Heights In-law with private entry.,17349647,Candace And Joshua,t,San Francisco,125.0,1.0,4.96
2802480,Marina Modern 2BR (30 day min),14333760,Alessandra,f,San Francisco,285.0,2.0,4.76
48955947,Classic Pac Hts 1bd Victorian meets SF. Pet ok*,91488071,Dan And Jan,t,San Francisco,125.0,1.0,4.7
25376401,"Cheerful Suite w/ Garden, Steps from Dolores Park",113405017,Russell,t,San Francisco,208.0,1.0,4.95
53835580,Studio with Balcony & Stunning Bay Bridge View,25416774,Maryam,t,San Francisco,155.0,1.0,5.0
21596397,Take it Easy on Potrero Hill,4718164,Serena Leilani,t,San Francisco,110.0,1.0,4.88
17642091,Audrey & Nick's Place,6641931,Audrey,t,San Francisco,104.0,1.0,4.92
597198179407251720,Cozy 1 BDRM w/ Private Entry 15 min. from SFO,196277030,Josh,f,San Francisco,120.0,1.0,4.88
801176820131952849,Deluxe furnished short term 2B2B,23255336,Karen,f,San Francisco,285.0,2.0,5.0
21966303,Charming Edwardian Studio in the Mission,4430421,Landmark,f,San Francisco,104.0,1.0,4.86
782137715145413908,Dogpatch Delight,1498483,Jared & Katherine,t,San Francisco,130.0,1.0,5.0
39418,"Comfortable Home Base, Bernal Heights, great area!",169184,Therese And Nelson,f,San Francisco,79.0,1.0,4.92
7785897,Sunnyside Bayview Heights Suite,40970701,Karla,f,San Francisco,68.0,3.0,4.69
705963699397928779,Newly Remodeled 2B/2B Guest Suite Home ~ 1000sf,27333348,Jeff,t,San Francisco,185.0,3.0,4.97
596925242101070405,Spacious Luxury 2BD Loft in Downtown San Francisco,452514150,Jesse,t,San Francisco,250.0,3.0,5.0
7331464,2br-1ba private guest-suite in Noe Valley,32687481,Susan,t,San Francisco,223.0,3.0,4.84
5086367,Semi-Circle Modern Room / Private Street Entrance,5026313,Elena,t,San Francisco,72.0,1.0,4.92
31331285,Modern apartment in SF beautiful Potrero Hill,2993648,Eduardo,t,San Francisco,190.0,2.0,5.0
938525854828933880,"Gorgeous Seaside View Home w Deck, Piano",36474444,Monica,f,San Francisco,294.0,3.0,5.0
670333209643254458,Luxury 1b1b Studio in Union Square with GYM,24465020,Nil,t,San Francisco,130.0,1.0,5.0
1038757066276718601,Chic Urban Oasis with Views near Bernal Peak,537271078,Haley,t,San Francisco,327.0,7.0,5.0
9256506,Private Rooms in Modernized 1890s Victorian Home,14003785,Pam,t,San Francisco,240.0,2.0,4.97
124011,Golden Gate Park/UCSF Family High-Tech Victorian,617985,Patrick,f,San Francisco,543.0,4.0,4.97
681252657413248712,King Bed Studio w/ full kitchen in Lower Haight,235023271,Franc,f,San Francisco,270.0,1.0,4.9
1970257,Classic Inner Mission Living in an Historic First-Floor Home,7649665,Eoin & Susie,t,San Francisco,455.0,4.0,4.96
20361588,"Rare find, Large 1br w/ Parking, Wifi, W/D & Views",104809788,Elyssa,t,San Francisco,169.0,2.0,4.99
23550791,Private Bedroom/bathroom with private entrance!,175969733,Sat,t,San Francisco,70.0,1.0,4.95
42914481,Deluxe Queen Room with Shared Bathroom,309729224,Hayes Valley Inn,f,San Francisco,89.0,1.0,4.42
6934874,Beautiful SF 2BR w/ Ocean Views,25943995,Dan,f,San Francisco,174.0,2.0,4.81
47028102,Konrad on the Park | 2 Bedroom Apartment,380133125,Konrad,f,San Francisco,175.0,1.0,5.0
53608038,"Beautiful, newly remodeled flat with garden",23974491,Brian,t,San Francisco,180.0,2.0,5.0
22738026,"Single Bedroom in Russian Hill, San Francisco",158369175,Ejlam,t,San Francisco,120.0,1.0,4.83
948248351912703144,Spacious 2 bed 2 bath,130348668,Eugene,f,San Francisco,350.0,2.0,5.0
17405370,Modern 1-BD in Fisherman's Wharf/Russian Hill,20369590,Peter,t,San Francisco,225.0,2.0,4.97
21186680,Hayes Valley Haven - sunny and quiet with kitties!,152997097,James And Kim,t,San Francisco,450.0,2.0,4.95
51557,Centrally Located Victorian Apartment,237200,Len,f,San Francisco,125.0,1.0,4.89
612969342981975096,Discover the Famous Sunset SF starship house,289769766,Kimmy,f,San Francisco,292.0,3.0,4.71
17011295,Contemporary & Comfy - Moscone Convention Center,103884979,Rams,f,San Francisco,113.0,1.0,4.43
6430646,"Room in Elegant, Private, Serene House with Beautiful Furnishings",4098848,David,t,San Francisco,108.0,1.0,4.89
38204418,"Blueground | Lower Nob Hill, roofdeck, nr shops",107434423,Blueground,f,San Francisco,206.0,2.0,2.0
29316715,Stylish Noe Valley condo with amazing views,2846262,Sergio,t,San Francisco,430.0,3.0,4.98
2130640,Family & Kids Friendly Spacious 3BR/2BA Victorian,10870100,Han Chyi And Choon Hong,f,San Francisco,450.0,4.0,4.86
6335352,Beautiful Victorian Home in Noe Valley,580236,Vladislav,t,San Francisco,456.0,3.0,4.84
29823880,Nob Hill Condo,178425455,Jennifer,f,San Francisco,88.0,1.0,3.0
20424542,Comfy Studio near MUNI subway STR4734,5009045,Michael,f,San Francisco,82.0,1.0,4.75
